revenue_category,year,power_code_code,value
"1000 Taxes on income, profits and capital gains",2018,600000,0.24853157008064353
"1000 Taxes on income, profits and capital gains",2019,600000,0.24613961772967052
"1000 Taxes on income, profits and capital gains",2020,600000,0.2305129191129664
"1000 Taxes on income, profits and capital gains",2021,600000,0.25141762455939104
"1100 Taxes on income, profits and capital gains of individuals",2004,600000,0.07172781728472355
"1100 Taxes on income, profits and capital gains of individuals",2005,600000,0.07423458174837447
"1100 Taxes on income, profits and capital gains of individuals",2006,600000,0.07474228531110033
"1100 Taxes on income, profits and capital gains of individuals",2007,600000,0.07915135046747432
"1100 Taxes on income, profits and capital gains of individuals",2008,600000,0.08586805908023297
"1100 Taxes on income, profits and capital gains of individuals",2009,600000,0.0866509916796222
"1100 Taxes on income, profits and capital gains of individuals",2010,600000,0.10232574536613613
"1100 Taxes on income, profits and capital gains of individuals",2011,600000,0.1167999723970879
"1100 Taxes on income, profits and capital gains of individuals",2012,600000,0.11563084905457527
"1100 Taxes on income, profits and capital gains of individuals",2013,600000,0.14694880309872693
"1100 Taxes on income, profits and capital gains of individuals",2014,600000,0.1512827103259394
"1100 Taxes on income, profits and capital gains of individuals",2015,600000,0.167555177071181
"1100 Taxes on income, profits and capital gains of individuals",2016,600000,0.17812449213392012
"1100 Taxes on income, profits and capital gains of individuals",2017,600000,0.1809260877022526
"1100 Taxes on income, profits and capital gains of individuals",2018,600000,0.19893383751985838
"1100 Taxes on income, profits and capital gains of individuals",2019,600000,0.20047435004392966
"1100 Taxes on income, profits and capital gains of individuals",2020,600000,0.18589536196068684
"1100 Taxes on income, profits and capital gains of individuals",2021,600000,0.20511748989518397
"1100 Taxes on income, profits and capital gains of individuals",2004,600000,0.07172781728472355
"1100 Taxes on income, profits and capital gains of individuals",2005,600000,0.07423458174837447
"1100 Taxes on income, profits and capital gains of individuals",2006,600000,0.07474228531110033
"1100 Taxes on income, profits and capital gains of individuals",2007,600000,0.07915135046747432
"1100 Taxes on income, profits and capital gains of individuals",2008,600000,0.08586805908023297
"1100 Taxes on income, profits and capital gains of individuals",2009,600000,0.0866509916796222
"1100 Taxes on income, profits and capital gains of individuals",2010,600000,0.10232574536613613
"1100 Taxes on income, profits and capital gains of individuals",2011,600000,0.1167999723970879
"1100 Taxes on income, profits and capital gains of individuals",2012,600000,0.11563084905457527
"1100 Taxes on income, profits and capital gains of individuals",2013,600000,0.14694880309872693
"1100 Taxes on income, profits and capital gains of individuals",2014,600000,0.1512827103259394
"1100 Taxes on income, profits and capital gains of individuals",2015,600000,0.167555177071181
"1100 Taxes on income, profits and capital gains of individuals",2016,600000,0.17812449213392012
"1100 Taxes on income, profits and capital gains of individuals",2017,600000,0.1809260877022526
"1100 Taxes on income, profits and capital gains of individuals",2018,600000,0.19893383751985838
"1100 Taxes on income, profits and capital gains of individuals",2019,600000,0.20047435004392966
"1100 Taxes on income, profits and capital gains of individuals",2020,600000,0.18589536196068684
"1100 Taxes on income, profits and capital gains of individuals",2021,600000,0.20511748989518397
1110 On income and profits of individuals,2004,600000,0.07172781728472355
1110 On income and profits of individuals,2005,600000,0.07423458174837447
1110 On income and profits of individuals,2006,600000,0.07474228531110033
1110 On income and profits of individuals,2007,600000,0.07915135046747432
1110 On income and profits of individuals,2008,600000,0.08586805908023297
1110 On income and profits of individuals,2009,600000,0.0866509916796222
1110 On income and profits of individuals,2010,600000,0.10232574536613613
1110 On income and profits of individuals,2011,600000,0.1167999723970879
1110 On income and profits of individuals,2012,600000,0.11563084905457527
1110 On income and profits of individuals,2013,600000,0.14694880309872693
1110 On income and profits of individuals,2014,600000,0.1512827103259394
1110 On income and profits of individuals,2015,600000,0.167555177071181
1110 On income and profits of individuals,2016,600000,0.17812449213392012
1110 On income and profits of individuals,2017,600000,0.1809260877022526
1110 On income and profits of individuals,2018,600000,0.19893383751985838
1110 On income and profits of individuals,2019,600000,0.20047435004392966
1110 On income and profits of individuals,2020,600000,0.18589536196068684
1110 On income and profits of individuals,2021,600000,0.20511748989518397
1110 On income and profits of individuals,2004,600000,0.07172781728472355
1110 On income and profits of individuals,2005,600000,0.07423458174837447
1110 On income and profits of individuals,2006,600000,0.07474228531110033
1110 On income and profits of individuals,2007,600000,0.07915135046747432
1110 On income and profits of individuals,2008,600000,0.08586805908023297
1110 On income and profits of individuals,2009,600000,0.0866509916796222
1110 On income and profits of individuals,2010,600000,0.10232574536613613
1110 On income and profits of individuals,2011,600000,0.1167999723970879
1110 On income and profits of individuals,2012,600000,0.11563084905457527
1110 On income and profits of individuals,2013,600000,0.14694880309872693
1110 On income and profits of individuals,2014,600000,0.1512827103259394
1110 On income and profits of individuals,2015,600000,0.167555177071181
1110 On income and profits of individuals,2016,600000,0.17812449213392012
1110 On income and profits of individuals,2017,600000,0.1809260877022526
1110 On income and profits of individuals,2018,600000,0.19893383751985838
1110 On income and profits of individuals,2019,600000,0.20047435004392966
1110 On income and profits of individuals,2020,600000,0.18589536196068684
1110 On income and profits of individuals,2021,600000,0.20511748989518397
Personal income tax,2004,600000,0.07172781728472355
Personal income tax,2005,600000,0.07423458174837447
Personal income tax,2006,600000,0.07474228531110033
Personal income tax,2007,600000,0.07915135046747432
Personal income tax,2008,600000,0.08586805908023297
Personal income tax,2009,600000,0.0866509916796222
Personal income tax,2010,600000,0.10232574536613613
Personal income tax,2011,600000,0.1167999723970879
Personal income tax,2012,600000,0.11563084905457527
Personal income tax,2013,600000,0.12557959864765733
Personal income tax,2014,600000,0.12591293381451743
Personal income tax,2015,600000,0.1301713330756395
Personal income tax,2016,600000,0.14159818860889822
Personal income tax,2017,600000,0.1421994020369149
Personal income tax,2018,600000,0.15395319206176253
Personal income tax,2019,600000,0.15814233401623873
Personal income tax,2020,600000,0.1444787925126101
Personal income tax,2021,600000,0.1619942403923614
Personal income tax,2004,600000,0.07172781728472355
Personal income tax,2005,600000,0.07423458174837447
Personal income tax,2006,600000,0.07474228531110033
Personal income tax,2007,600000,0.07915135046747432
Personal income tax,2008,600000,0.08586805908023297
Personal income tax,2009,600000,0.0866509916796222
Personal income tax,2010,600000,0.10232574536613613
Personal income tax,2011,600000,0.1167999723970879
Personal income tax,2012,600000,0.11563084905457527
Personal income tax,2013,600000,0.12557959864765733
Personal income tax,2014,600000,0.12591293381451743
Personal income tax,2015,600000,0.1301713330756395
Personal income tax,2016,600000,0.14159818860889822
Personal income tax,2017,600000,0.1421994020369149
Personal income tax,2018,600000,0.15395319206176253
Personal income tax,2019,600000,0.15814233401623873
Personal income tax,2020,600000,0.1444787925126101
Personal income tax,2021,600000,0.1619942403923614
Withholding tax,2004,600000,0.043337172071653565
Withholding tax,2005,600000,0.043337172071653565
Withholding tax,2006,600000,0.043337172071653565
Withholding tax,2007,600000,0.043337172071653565
Withholding tax,2008,600000,0.043337172071653565
Withholding tax,2009,600000,0.043337172071653565
Withholding tax,2010,600000,0.043337172071653565
Withholding tax,2011,600000,0.043337172071653565
Withholding tax,2012,600000,0.043337172071653565
Withholding tax,2013,600000,0.06470637652272315
Withholding tax,2014,600000,0.06870694858307552
Withholding tax,2015,600000,0.08072101606719509
Withholding tax,2016,600000,0.07986347559667545
Withholding tax,2017,600000,0.08206390774226682
Withholding tax,2018,600000,0.0883178175297494
Withholding tax,2019,600000,0.08566918809934448
Withholding tax,2020,600000,0.08475374151973034
Withholding tax,2021,600000,0.08646047157975167
Withholding tax,2004,600000,0.043337172071653565
Withholding tax,2005,600000,0.043337172071653565
Withholding tax,2006,600000,0.043337172071653565
Withholding tax,2007,600000,0.043337172071653565
Withholding tax,2008,600000,0.043337172071653565
Withholding tax,2009,600000,0.043337172071653565
Withholding tax,2010,600000,0.043337172071653565
Withholding tax,2011,600000,0.043337172071653565
Withholding tax,2012,600000,0.043337172071653565
Withholding tax,2013,600000,0.06470637652272315
Withholding tax,2014,600000,0.06870694858307552
Withholding tax,2015,600000,0.08072101606719509
Withholding tax,2016,600000,0.07986347559667545
Withholding tax,2017,600000,0.08206390774226682
Withholding tax,2018,600000,0.0883178175297494
Withholding tax,2019,600000,0.08566918809934448
Withholding tax,2020,600000,0.08475374151973034
Withholding tax,2021,600000,0.08646047157975167
1120 On capital gains of individuals,2004,600000,0.043337172071653565
1120 On capital gains of individuals,2005,600000,0.043337172071653565
1120 On capital gains of individuals,2006,600000,0.043337172071653565
1120 On capital gains of individuals,2007,600000,0.043337172071653565
1120 On capital gains of individuals,2008,600000,0.043337172071653565
1120 On capital gains of individuals,2009,600000,0.043337172071653565
1120 On capital gains of individuals,2010,600000,0.043337172071653565
1120 On capital gains of individuals,2011,600000,0.043337172071653565
1120 On capital gains of individuals,2012,600000,0.043337172071653565
1120 On capital gains of individuals,2013,600000,0.043337172071653565
1120 On capital gains of individuals,2014,600000,0.043337172071653565
1120 On capital gains of individuals,2015,600000,0.043337172071653565
1120 On capital gains of individuals,2016,600000,0.043337172071653565
1120 On capital gains of individuals,2017,600000,0.043337172071653565
1120 On capital gains of individuals,2018,600000,0.043337172071653565
1120 On capital gains of individuals,2019,600000,0.043337172071653565
1120 On capital gains of individuals,2020,600000,0.043337172071653565
1120 On capital gains of individuals,2021,600000,0.043337172071653565
1120 On capital gains of individuals,2004,600000,0.043337172071653565
1120 On capital gains of individuals,2005,600000,0.043337172071653565
1120 On capital gains of individuals,2006,600000,0.043337172071653565
1120 On capital gains of individuals,2007,600000,0.043337172071653565
1120 On capital gains of individuals,2008,600000,0.043337172071653565
1120 On capital gains of individuals,2009,600000,0.043337172071653565
1120 On capital gains of individuals,2010,600000,0.043337172071653565
1120 On capital gains of individuals,2011,600000,0.043337172071653565
1120 On capital gains of individuals,2012,600000,0.043337172071653565
1120 On capital gains of individuals,2013,600000,0.043337172071653565
1120 On capital gains of individuals,2014,600000,0.043337172071653565
1120 On capital gains of individuals,2015,600000,0.043337172071653565
1120 On capital gains of individuals,2016,600000,0.043337172071653565
1120 On capital gains of individuals,2017,600000,0.043337172071653565
1120 On capital gains of individuals,2018,600000,0.043337172071653565
1120 On capital gains of individuals,2019,600000,0.043337172071653565
1120 On capital gains of individuals,2020,600000,0.043337172071653565
1120 On capital gains of individuals,2021,600000,0.043337172071653565
"1200 Taxes on income, profits and capital gains of corporates",2004,600000,0.05427857638980913
"1200 Taxes on income, profits and capital gains of corporates",2005,600000,0.05278251855570763
"1200 Taxes on income, profits and capital gains of corporates",2006,600000,0.05340063376686241
"1200 Taxes on income, profits and capital gains of corporates",2007,600000,0.05696180947089918
"1200 Taxes on income, profits and capital gains of corporates",2008,600000,0.06250269403422062
"1200 Taxes on income, profits and capital gains of corporates",2009,600000,0.07803998321822952
"1200 Taxes on income, profits and capital gains of corporates",2010,600000,0.06693291142215504
"1200 Taxes on income, profits and capital gains of corporates",2011,600000,0.07112880408883138
"1200 Taxes on income, profits and capital gains of corporates",2012,600000,0.06599561253712267
"1200 Taxes on income, profits and capital gains of corporates",2013,600000,0.07345439943914084
"1200 Taxes on income, profits and capital gains of corporates",2014,600000,0.08754213569531585
"1200 Taxes on income, profits and capital gains of corporates",2015,600000,0.09999834982590664
"1200 Taxes on income, profits and capital gains of corporates",2016,600000,0.09287059784807297
"1200 Taxes on income, profits and capital gains of corporates",2017,600000,0.08288019386045228
"1200 Taxes on income, profits and capital gains of corporates",2018,600000,0.0912734293467961
"1200 Taxes on income, profits and capital gains of corporates",2019,600000,0.08753923538933359
"1200 Taxes on income, profits and capital gains of corporates",2020,600000,0.08642491782883094
"1200 Taxes on income, profits and capital gains of corporates",2021,600000,0.08760504233196603
"1200 Taxes on income, profits and capital gains of corporates",2004,600000,0.05427857638980913
"1200 Taxes on income, profits and capital gains of corporates",2005,600000,0.05278251855570763
"1200 Taxes on income, profits and capital gains of corporates",2006,600000,0.05340063376686241
"1200 Taxes on income, profits and capital gains of corporates",2007,600000,0.05696180947089918
"1200 Taxes on income, profits and capital gains of corporates",2008,600000,0.06250269403422062
"1200 Taxes on income, profits and capital gains of corporates",2009,600000,0.07803998321822952
"1200 Taxes on income, profits and capital gains of corporates",2010,600000,0.06693291142215504
"1200 Taxes on income, profits and capital gains of corporates",2011,600000,0.07112880408883138
"1200 Taxes on income, profits and capital gains of corporates",2012,600000,0.06599561253712267
"1200 Taxes on income, profits and capital gains of corporates",2013,600000,0.07345439943914084
"1200 Taxes on income, profits and capital gains of corporates",2014,600000,0.08754213569531585
"1200 Taxes on income, profits and capital gains of corporates",2015,600000,0.09999834982590664
"1200 Taxes on income, profits and capital gains of corporates",2016,600000,0.09287059784807297
"1200 Taxes on income, profits and capital gains of corporates",2017,600000,0.08288019386045228
"1200 Taxes on income, profits and capital gains of corporates",2018,600000,0.0912734293467961
"1200 Taxes on income, profits and capital gains of corporates",2019,600000,0.08753923538933359
"1200 Taxes on income, profits and capital gains of corporates",2020,600000,0.08642491782883094
"1200 Taxes on income, profits and capital gains of corporates",2021,600000,0.08760504233196603
1210 On profits of corporates,2004,600000,0.05427857638980913
1210 On profits of corporates,2005,600000,0.05278251855570763
1210 On profits of corporates,2006,600000,0.05340063376686241
1210 On profits of corporates,2007,600000,0.05696180947089918
1210 On profits of corporates,2008,600000,0.06250269403422062
1210 On profits of corporates,2009,600000,0.07803998321822952
1210 On profits of corporates,2010,600000,0.06693291142215504
1210 On profits of corporates,2011,600000,0.07112880408883138
1210 On profits of corporates,2012,600000,0.06599561253712267
1210 On profits of corporates,2013,600000,0.07345439943914084
1210 On profits of corporates,2014,600000,0.08754213569531585
1210 On profits of corporates,2015,600000,0.09999834982590664
1210 On profits of corporates,2016,600000,0.09287059784807297
1210 On profits of corporates,2017,600000,0.08288019386045228
1210 On profits of corporates,2018,600000,0.0912734293467961
1210 On profits of corporates,2019,600000,0.08753923538933359
1210 On profits of corporates,2020,600000,0.08642491782883094
1210 On profits of corporates,2021,600000,0.08760504233196603
1210 On profits of corporates,2004,600000,0.05427857638980913
1210 On profits of corporates,2005,600000,0.05278251855570763
1210 On profits of corporates,2006,600000,0.05340063376686241
1210 On profits of corporates,2007,600000,0.05696180947089918
1210 On profits of corporates,2008,600000,0.06250269403422062
1210 On profits of corporates,2009,600000,0.07803998321822952
1210 On profits of corporates,2010,600000,0.06693291142215504
1210 On profits of corporates,2011,600000,0.07112880408883138
1210 On profits of corporates,2012,600000,0.06599561253712267
1210 On profits of corporates,2013,600000,0.07345439943914084
1210 On profits of corporates,2014,600000,0.08754213569531585
1210 On profits of corporates,2015,600000,0.09999834982590664
1210 On profits of corporates,2016,600000,0.09287059784807297
1210 On profits of corporates,2017,600000,0.08288019386045228
1210 On profits of corporates,2018,600000,0.0912734293467961
1210 On profits of corporates,2019,600000,0.08753923538933359
1210 On profits of corporates,2020,600000,0.08642491782883094
1210 On profits of corporates,2021,600000,0.08760504233196603
Corporate income tax,2004,600000,0.05427857638980913
Corporate income tax,2005,600000,0.05278251855570763
Corporate income tax,2006,600000,0.05340063376686241
Corporate income tax,2007,600000,0.05696180947089918
Corporate income tax,2008,600000,0.06250269403422062
Corporate income tax,2009,600000,0.07803998321822952
Corporate income tax,2010,600000,0.06693291142215504
Corporate income tax,2011,600000,0.07112880408883138
Corporate income tax,2012,600000,0.06599561253712267
Corporate income tax,2013,600000,0.07310961306417828
Corporate income tax,2014,600000,0.08719604918318884
Corporate income tax,2015,600000,0.09961890979498339
Corporate income tax,2016,600000,0.09248325698361178
Corporate income tax,2017,600000,0.08253180710564964
Corporate income tax,2018,600000,0.09108560953180561
Corporate income tax,2019,600000,0.08718269777461524
Corporate income tax,2020,600000,0.08625199958595633
Corporate income tax,2021,600000,0.08741627241673997
Corporate income tax,2004,600000,0.05427857638980913
Corporate income tax,2005,600000,0.05278251855570763
Corporate income tax,2006,600000,0.05340063376686241
Corporate income tax,2007,600000,0.05696180947089918
Corporate income tax,2008,600000,0.06250269403422062
Corporate income tax,2009,600000,0.07803998321822952
Corporate income tax,2010,600000,0.06693291142215504
Corporate income tax,2011,600000,0.07112880408883138
Corporate income tax,2012,600000,0.06599561253712267
Corporate income tax,2013,600000,0.07310961306417828
Corporate income tax,2014,600000,0.08719604918318884
Corporate income tax,2015,600000,0.09961890979498339
Corporate income tax,2016,600000,0.09248325698361178
Corporate income tax,2017,600000,0.08253180710564964
Corporate income tax,2018,600000,0.09108560953180561
Corporate income tax,2019,600000,0.08718269777461524
Corporate income tax,2020,600000,0.08625199958595633
Corporate income tax,2021,600000,0.08741627241673997
Gambling levy,2004,600000,0.043337172071653565
Gambling levy,2005,600000,0.043337172071653565
Gambling levy,2006,600000,0.043337172071653565
Gambling levy,2007,600000,0.043337172071653565
Gambling levy,2008,600000,0.043337172071653565
Gambling levy,2009,600000,0.043337172071653565
Gambling levy,2010,600000,0.043337172071653565
Gambling levy,2011,600000,0.043337172071653565
Gambling levy,2012,600000,0.043337172071653565
Gambling levy,2013,600000,0.043681958446616126
Gambling levy,2014,600000,0.043683258583780596
Gambling levy,2015,600000,0.04371661210257683
Gambling levy,2016,600000,0.04372451293611477
Gambling levy,2017,600000,0.043685558826456194
Gambling levy,2018,600000,0.04352499188664405
Gambling levy,2019,600000,0.043693709686371915
Gambling levy,2020,600000,0.04351014031980374
Gambling levy,2021,600000,0.04352594198687962
Gambling levy,2004,600000,0.043337172071653565
Gambling levy,2005,600000,0.043337172071653565
Gambling levy,2006,600000,0.043337172071653565
Gambling levy,2007,600000,0.043337172071653565
Gambling levy,2008,600000,0.043337172071653565
Gambling levy,2009,600000,0.043337172071653565
Gambling levy,2010,600000,0.043337172071653565
Gambling levy,2011,600000,0.043337172071653565
Gambling levy,2012,600000,0.043337172071653565
Gambling levy,2013,600000,0.043681958446616126
Gambling levy,2014,600000,0.043683258583780596
Gambling levy,2015,600000,0.04371661210257683
Gambling levy,2016,600000,0.04372451293611477
Gambling levy,2017,600000,0.043685558826456194
Gambling levy,2018,600000,0.04352499188664405
Gambling levy,2019,600000,0.043693709686371915
Gambling levy,2020,600000,0.04351014031980374
Gambling levy,2021,600000,0.04352594198687962
1220 On capital gains of corporates,2004,600000,0.043337172071653565
1220 On capital gains of corporates,2005,600000,0.043337172071653565
1220 On capital gains of corporates,2006,600000,0.043337172071653565
1220 On capital gains of corporates,2007,600000,0.043337172071653565
1220 On capital gains of corporates,2008,600000,0.043337172071653565
1220 On capital gains of corporates,2009,600000,0.043337172071653565
1220 On capital gains of corporates,2010,600000,0.043337172071653565
1220 On capital gains of corporates,2011,600000,0.043337172071653565
1220 On capital gains of corporates,2012,600000,0.043337172071653565
1220 On capital gains of corporates,2013,600000,0.043337172071653565
1220 On capital gains of corporates,2014,600000,0.043337172071653565
1220 On capital gains of corporates,2015,600000,0.043337172071653565
1220 On capital gains of corporates,2016,600000,0.043337172071653565
1220 On capital gains of corporates,2017,600000,0.043337172071653565
1220 On capital gains of corporates,2018,600000,0.043337172071653565
1220 On capital gains of corporates,2019,600000,0.043337172071653565
1220 On capital gains of corporates,2020,600000,0.043337172071653565
1220 On capital gains of corporates,2021,600000,0.043337172071653565
1220 On capital gains of corporates,2004,600000,0.043337172071653565
1220 On capital gains of corporates,2005,600000,0.043337172071653565
1220 On capital gains of corporates,2006,600000,0.043337172071653565
1220 On capital gains of corporates,2007,600000,0.043337172071653565
1220 On capital gains of corporates,2008,600000,0.043337172071653565
1220 On capital gains of corporates,2009,600000,0.043337172071653565
1220 On capital gains of corporates,2010,600000,0.043337172071653565
1220 On capital gains of corporates,2011,600000,0.043337172071653565
1220 On capital gains of corporates,2012,600000,0.043337172071653565
1220 On capital gains of corporates,2013,600000,0.043337172071653565
1220 On capital gains of corporates,2014,600000,0.043337172071653565
1220 On capital gains of corporates,2015,600000,0.043337172071653565
1220 On capital gains of corporates,2016,600000,0.043337172071653565
1220 On capital gains of corporates,2017,600000,0.043337172071653565
1220 On capital gains of corporates,2018,600000,0.043337172071653565
1220 On capital gains of corporates,2019,600000,0.043337172071653565
1220 On capital gains of corporates,2020,600000,0.043337172071653565
1220 On capital gains of corporates,2021,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2004,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2005,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2006,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2007,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2008,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2009,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2010,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2011,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2012,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2013,600000,0.04410160271908687
1300 Unallocable between 1100 and 1200,2014,600000,0.04447834246513008
1300 Unallocable between 1100 and 1200,2015,600000,0.04504170189955041
1300 Unallocable between 1100 and 1200,2016,600000,0.045746126216315824
1300 Unallocable between 1100 and 1200,2017,600000,0.045008298375478616
1300 Unallocable between 1100 and 1200,2018,600000,0.04499859735202064
1300 Unallocable between 1100 and 1200,2019,600000,0.04480032643443884
1300 Unallocable between 1100 and 1200,2020,600000,0.04486698346675575
1300 Unallocable between 1100 and 1200,2021,600000,0.04536938647027262
1300 Unallocable between 1100 and 1200,2004,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2005,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2006,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2007,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2008,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2009,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2010,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2011,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2012,600000,0.043337172071653565
1300 Unallocable between 1100 and 1200,2013,600000,0.04410160271908687
1300 Unallocable between 1100 and 1200,2014,600000,0.04447834246513008
1300 Unallocable between 1100 and 1200,2015,600000,0.04504170189955041
