government,government_level,tax,revenue_category,year,power_code_code,value
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2013,600000,427.339
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2014,600000,507.342
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2015,600000,747.598
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2016,600000,730.449
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2017,600000,774.453
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2018,600000,899.518
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2019,600000,846.551
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2020,600000,828.244
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2021,600000,862.375
NES,Total,1110_L02_LSO,Withholding tax,2004,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2005,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2006,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2007,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2008,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2009,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2010,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2011,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2012,600000,0.0
NES,Total,1110_L02_LSO,Withholding tax,2013,600000,427.339
NES,Total,1110_L02_LSO,Withholding tax,2014,600000,507.342
NES,Total,1110_L02_LSO,Withholding tax,2015,600000,747.598
NES,Total,1110_L02_LSO,Withholding tax,2016,600000,730.449
NES,Total,1110_L02_LSO,Withholding tax,2017,600000,774.453
NES,Total,1110_L02_LSO,Withholding tax,2018,600000,899.518
NES,Total,1110_L02_LSO,Withholding tax,2019,600000,846.551
NES,Total,1110_L02_LSO,Withholding tax,2020,600000,828.244
NES,Total,1110_L02_LSO,Withholding tax,2021,600000,862.375
FED,Federal or Central government,1120,1120 On capital gains of individuals,2004,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2005,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2006,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2007,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2008,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2009,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2010,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2011,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2012,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2013,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2014,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2015,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2016,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2017,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2018,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2019,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2020,600000,0.0
FED,Federal or Central government,1120,1120 On capital gains of individuals,2021,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2004,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2005,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2006,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2007,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2008,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2009,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2010,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2011,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2012,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2013,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2014,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2015,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2016,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2017,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2018,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2019,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2020,600000,0.0
NES,Total,1120,1120 On capital gains of individuals,2021,600000,0.0
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2004,600000,218.805
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2005,600000,188.887
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2006,600000,201.248
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2007,600000,272.464
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2008,600000,383.27
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2009,600000,693.983
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2010,600000,471.865
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2011,600000,555.774
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2012,600000,453.121
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2013,600000,602.281
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2014,600000,884.006
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2015,600000,1133.104
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2016,600000,990.564
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2017,600000,790.777
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2018,600000,958.624
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2019,600000,883.948
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2020,600000,861.664
FED,Federal or Central government,1200,"1200 Taxes on income, profits and capital gains of corporates",2021,600000,885.264
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2004,600000,218.805
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2005,600000,188.887
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2006,600000,201.248
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2007,600000,272.464
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2008,600000,383.27
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2009,600000,693.983
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2010,600000,471.865
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2011,600000,555.774
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2012,600000,453.121
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2013,600000,602.281
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2014,600000,884.006
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2015,600000,1133.104
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2016,600000,990.564
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2017,600000,790.777
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2018,600000,958.624
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2019,600000,883.948
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2020,600000,861.664
NES,Total,1200,"1200 Taxes on income, profits and capital gains of corporates",2021,600000,885.264
FED,Federal or Central government,1210,1210 On profits of corporates,2004,600000,218.805
FED,Federal or Central government,1210,1210 On profits of corporates,2005,600000,188.887
FED,Federal or Central government,1210,1210 On profits of corporates,2006,600000,201.248
FED,Federal or Central government,1210,1210 On profits of corporates,2007,600000,272.464
FED,Federal or Central government,1210,1210 On profits of corporates,2008,600000,383.27
FED,Federal or Central government,1210,1210 On profits of corporates,2009,600000,693.983
FED,Federal or Central government,1210,1210 On profits of corporates,2010,600000,471.865
FED,Federal or Central government,1210,1210 On profits of corporates,2011,600000,555.774
FED,Federal or Central government,1210,1210 On profits of corporates,2012,600000,453.121
FED,Federal or Central government,1210,1210 On profits of corporates,2013,600000,602.281
FED,Federal or Central government,1210,1210 On profits of corporates,2014,600000,884.006
FED,Federal or Central government,1210,1210 On profits of corporates,2015,600000,1133.104
FED,Federal or Central government,1210,1210 On profits of corporates,2016,600000,990.564
FED,Federal or Central government,1210,1210 On profits of corporates,2017,600000,790.777
FED,Federal or Central government,1210,1210 On profits of corporates,2018,600000,958.624
FED,Federal or Central government,1210,1210 On profits of corporates,2019,600000,883.948
FED,Federal or Central government,1210,1210 On profits of corporates,2020,600000,861.664
FED,Federal or Central government,1210,1210 On profits of corporates,2021,600000,885.264
NES,Total,1210,1210 On profits of corporates,2004,600000,218.805
NES,Total,1210,1210 On profits of corporates,2005,600000,188.887
NES,Total,1210,1210 On profits of corporates,2006,600000,201.248
NES,Total,1210,1210 On profits of corporates,2007,600000,272.464
NES,Total,1210,1210 On profits of corporates,2008,600000,383.27
NES,Total,1210,1210 On profits of corporates,2009,600000,693.983
NES,Total,1210,1210 On profits of corporates,2010,600000,471.865
NES,Total,1210,1210 On profits of corporates,2011,600000,555.774
NES,Total,1210,1210 On profits of corporates,2012,600000,453.121
NES,Total,1210,1210 On profits of corporates,2013,600000,602.281
NES,Total,1210,1210 On profits of corporates,2014,600000,884.006
NES,Total,1210,1210 On profits of corporates,2015,600000,1133.104
NES,Total,1210,1210 On profits of corporates,2016,600000,990.564
NES,Total,1210,1210 On profits of corporates,2017,600000,790.777
NES,Total,1210,1210 On profits of corporates,2018,600000,958.624
NES,Total,1210,1210 On profits of corporates,2019,600000,883.948
NES,Total,1210,1210 On profits of corporates,2020,600000,861.664
NES,Total,1210,1210 On profits of corporates,2021,600000,885.264
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2004,600000,218.805
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2005,600000,188.887
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2006,600000,201.248
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2007,600000,272.464
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2008,600000,383.27
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2009,600000,693.983
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2010,600000,471.865
